motherid,sdate,edate,seventtype,eeventtype,locationid,location,episode_id
CAA019021,2004-09-15,2008-08-15,2,2,SGS236,2,98
CAA019021,2008-08-16,2012-06-15,2,2,CAN008,2,99
CAA019021,2008-08-16,2012-06-15,2,2,CAP025,2,100
CAA019021,2008-08-16,2012-06-15,2,2,SGS236,2,101
CAA019021,2013-07-15,2015-09-15,2,2,CAN008,2,102
CAA019021,2013-07-15,2015-09-15,2,2,CAP025,2,103
CAA019021,2013-07-15,2015-09-15,2,2,SGS236,2,104
CAA020003,1995-11-16,1996-01-16,3,2,SGT003,1,105
CAA020003,1995-11-16,1996-01-16,3,2,SGT003,2,106
CAA020003,1996-01-16,2001-04-15,2,2,SGT003,1,107
CAA020003,1996-01-16,2001-04-15,2,2,SGT003,2,108
CAA020004,NA,NA,NA,NA,CAA020,2,109
CAA020008,NA,NA,NA,NA,CAA020,2,110
CAA021009,1995-11-16,1997-04-15,3,2,CAB026,2,111
CAA021009,2002-12-17,2006-06-15,2,2,CAB026,2,112
CAA021009,2006-06-15,2007-02-15,2,2,CAB026,2,113
CAA021009,2007-03-15,2008-02-15,2,2,CAB026,2,114
CAA021017,1996-04-15,1997-04-15,3,2,CAA021,2,115
CAA021018,1995-11-16,1998-01-05,3,2,CAA021,2,116
CAA021018,1998-01-05,2002-01-15,2,2,CAA021,2,117
CAA022006,1995-11-16,1996-06-15,3,2,CAA021,2,118
CAA022006,1995-11-16,1996-06-15,3,2,CAB121,2,119
CAA022006,1995-11-16,1996-06-15,3,2,CAG079,2,120
CAA022006,1996-11-16,2004-02-15,2,2,CAA021,2,121
CAA022006,1996-11-16,2004-02-15,2,2,CAB121,2,122
CAA022006,1996-11-16,2004-02-15,2,2,CAG079,2,123
CAA022006,2004-02-15,2005-08-04,2,2,CAA021,2,124
CAA022006,2004-02-15,2005-08-04,2,2,CAB121,2,125
CAA022006,2004-02-15,2005-08-04,2,2,CAG079,2,126
CAA022006,2005-08-24,2006-07-15,2,2,CAA021,2,127
CAA022006,2005-08-24,2006-07-15,2,2,CAB121,2,128
CAA022006,2005-08-24,2006-07-15,2,2,CAG079,2,129
CAA022006,2007-05-04,2009-04-15,2,2,CAA021,2,130
CAA022006,2007-05-04,2009-04-15,2,2,CAB121,2,131
CAA022006,2007-05-04,2009-04-15,2,2,CAG079,2,132
CAA022006,2009-04-15,2010-08-15,2,2,CAA021,2,133
CAA022006,2009-04-15,2010-08-15,2,2,CAB121,2,134
CAA022006,2009-04-15,2010-08-15,2,2,CAG079,2,135
CAA022006,2011-06-15,2018-04-15,2,2,CAA021,2,136
CAA022006,2011-06-15,2018-04-15,2,2,CAB121,2,137
CAA022006,2011-06-15,2018-04-15,2,2,CAG079,2,138
CAA022020,2008-09-15,2010-06-15,2,2,CAA022,2,139
CAA022020,2014-06-15,2018-12-15,2,2,CAA022,2,140
CAA022021,NA,NA,NA,NA,ECA004,1,141
CAA023005,1995-11-16,2004-05-15,3,2,CAA023,2,142
CAA023005,2004-05-15,2005-03-02,2,2,CAA023,2,143
CAA023005,2009-06-15,2018-12-30,2,2,CAA023,2,144
CAA023006,1995-11-16,2008-04-08,3,2,CAA023,2,145
CAA023006,1995-11-16,2008-04-08,3,2,CAL096,2,146
CAA023006,1995-11-16,2008-04-08,3,2,CAM127,2,147
CAA023006,1995-11-16,2008-04-08,3,2,WEF017,2,148
CAA023006,2011-05-24,2012-12-15,2,2,CAA023,2,149
CAA023006,2011-05-24,2012-12-15,2,2,CAL096,2,150
CAA023006,2011-05-24,2012-12-15,2,2,CAM127,2,151
CAA023006,2011-05-24,2012-12-15,2,2,WEF017,2,152
CAA023006,2013-01-15,2014-07-15,2,2,CAA023,2,153
CAA023006,2013-01-15,2014-07-15,2,2,CAL096,2,154
CAA023006,2013-01-15,2014-07-15,2,2,CAM127,2,155
CAA023006,2013-01-15,2014-07-15,2,2,WEF017,2,156
CAA023006,2014-07-15,2015-06-15,2,2,CAA023,2,157
CAA023006,2014-07-15,2015-06-15,2,2,CAL096,2,158
CAA023006,2014-07-15,2015-06-15,2,2,CAM127,2,159
CAA023006,2014-07-15,2015-06-15,2,2,WEF017,2,160
CAA023006,2015-06-15,2020-05-15,2,2,CAA023,2,161
CAA023006,2015-06-15,2020-05-15,2,2,CAL096,2,162
CAA023006,2015-06-15,2020-05-15,2,2,CAM127,2,163
CAA023006,2015-06-15,2020-05-15,2,2,WEF017,2,164
CAA024010,NA,NA,NA,NA,CAA024,2,165
CAA025004,1995-11-16,1997-07-15,2,2,CAA046,2,166
CAA025004,1995-11-16,1997-07-15,2,2,CAD084,2,167
CAA025004,1997-07-15,2010-08-15,2,2,CAA046,2,168
CAA025004,1997-07-15,2010-08-15,2,2,CAD084,2,169
CAA025004,2012-10-15,2015-03-15,2,2,CAA046,2,170
CAA025004,2012-10-15,2015-03-15,2,2,CAD084,2,171
CAA025005,1995-12-23,2000-12-15,2,2,CAA025,1,172
CAA025005,1995-12-23,2000-12-15,2,2,NBC056,1,173
CAA025005,1995-12-23,2000-12-15,2,2,NBC056,2,174
CAA025005,2000-12-15,2011-10-15,2,1,CAA025,1,175
CAA025005,2000-12-15,2011-10-15,2,1,NBC056,1,176
CAA025005,2000-12-15,2011-10-15,2,1,NBC056,2,177
CAA026004,NA,NA,NA,NA,CAA026,2,178
CAA028007,1995-11-16,1996-11-16,3,2,CAA028,2,179
CAA028007,1999-12-12,2000-05-15,2,2,CAA028,2,180
CAA028008,1995-11-16,2000-10-06,3,2,CAQ138,2,181
CAA028008,2011-06-15,2015-12-15,2,2,CAQ138,2,182
CAA028009,1995-11-16,2001-06-15,3,2,CAA028,2,183
CAA028010,1995-11-16,1998-02-02,3,2,SAB108,1,184
CAA028010,1999-01-15,2008-08-15,2,2,SAB108,1,185
CAA028034,2005-10-08,2006-11-15,2,2,CAA028,2,186
CAA028034,2006-11-15,2013-06-15,2,2,CAA028,2,187
CAA028041,1999-10-01,1999-10-01,2,2,CAA028,2,188
CAA028064,2008-07-16,2009-03-15,2,2,CAA028,2,189
